,year,day,part,status,output,expected_output,error,code,kpass
0,2015,1,1,timeout_error,,74,TIMEOUT,"
floor = 0
for char in input():
    if char == '(':
        floor += 1
    else:
        floor -= 1
print(floor)
",0.0
1,2015,1,2,part1_failed,,1795,,,
2,2015,2,1,no_error,"1586300
",1586300,,"
with open('input.txt', 'r') as f:
    dimensions = [line.strip() for line in f.readlines()]

total_wrapping_paper = 0
for dimension in dimensions:
    l, w, h = [int(x) for x in dimension.split('x')]
    surface_area = 2*l*w + 2*w*h + 2*h*l
    smallest_side = min(l*w, w*h, h*l)
    total_wrapping_paper += surface_area + smallest_side

print(total_wrapping_paper)
",0.0
3,2015,2,2,wrong_output,"3732796
",3737498,,"
with open('input.txt', 'r') as f:
    dimensions = [line.strip() for line in f.readlines()]

total_ribbon = 0
for dimension in dimensions:
    l, w, h = [int(x) for x in dimension.split('x')]
    shortest_perimeter = 2*min(l, w) + 2*min(w, h)
    volume = l*w*h
    total_ribbon += shortest_perimeter + volume

print(total_ribbon)
",0.0
4,2015,3,1,no_error,"2565
",2565,,"
with open('input.txt') as f:
    moves = f.read().strip()

houses = set()
x, y = 0, 0
for move in moves:
    if move == '^':
        y += 1
    elif move == 'v':
        y -= 1
    elif move == '>':
        x += 1
    elif move == '<':
        x -= 1
    houses.add((x, y))

print(len(houses))
",0.0
5,2015,3,2,wrong_output,"2565
",2639,,"
with open('input.txt') as f:
    moves = f.read().strip()

houses = set()
x, y = 0, 0
for i, move in enumerate(moves):
    if i % 2 == 0:
        if move == '^':
            y += 1
        elif move == 'v':
            y -= 1
        elif move == '>':
            x += 1
        elif move == '<':
            x -= 1
        houses.add((x, y))
    else:
        if move == '^':
            y += 1
        elif move == 'v':
            y -= 1
        elif move == '>':
            x += 1
        elif move == '<':
            x -= 1
        houses.add((x, y))

print(len(houses))
",0.0
6,2015,4,1,wrong_output,"1570168
",117946,,"
import hashlib

def find_lowest_positive_number(secret_key):
    i = 1
    while True:
        hash_value = hashlib.md5((str(i) + secret_key).encode()).hexdigest()
        if hash_value.startswith('00000'):
            return i
        i += 1

if __name__ == '__main__':
    with open('input.txt', 'r') as f:
        secret_key = f.read().strip()
    print(find_lowest_positive_number(secret_key))
",0.0
7,2015,4,2,part1_failed,,3938038,,,
8,2015,5,1,runtime_error,,236,"Traceback (most recent call last):
  File ""/tmp/tmpe6vzy9jk/tmp.py"", line 15, in <module>
    print(sum(is_nice(line.strip()) for line in f))
  File ""/tmp/tmpe6vzy9jk/tmp.py"", line 15, in <genexpr>
    print(sum(is_nice(line.strip()) for line in f))
  File ""/tmp/tmpe6vzy9jk/tmp.py"", line 8, in is_nice
    if not any(c == s[i+1] for i in range(len(s)-1)):
  File ""/tmp/tmpe6vzy9jk/tmp.py"", line 8, in <genexpr>
    if not any(c == s[i+1] for i in range(len(s)-1)):
NameError: name 'c' is not defined
","
vowels = set('aeiou')
disallowed = set(['ab', 'cd', 'pq', 'xy'])

def is_nice(s):
    if sum(c in vowels for c in s) < 3:
        return False
    if not any(c == s[i+1] for i in range(len(s)-1)):
        return False
    if any(s[i:i+2] in disallowed for i in range(len(s)-1)):
        return False
    return True

with open('input.txt') as f:
    print(sum(is_nice(line.strip()) for line in f))
",0.0
9,2015,5,2,part1_failed,,51,,,
10,2015,6,1,runtime_error,,400410,"  File ""/tmp/tmp9j19go0r/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def turn_on(grid, x1, y1, x2, y2):
    for i in range(x1, x2 + 1):
        for j in range(y1, y2 + 1):
            grid[i][j] = 1

def turn_off(grid, x1, y1, x2, y2):
    for i in range(x1, x2 + 1):
        for j in range(y1, y2 + 1):
            grid[i][j] = 0

def toggle(grid, x1, y1, x2, y2):
    for i in range(x1, x2 + 1):
        for j in range(y1, y2 + 1):
            grid[i][j] = 1 - grid[i][j]

def count_lights(grid):
    count = 0
    for i in range(1000):
        for j in range(1000):
            if grid[i][j] == 1:
                count += 1
    return",0.0
11,2015,6,2,part1_failed,,15343601,,,
