,Unnamed: 0,year,day,part,status,output,expected_output,error,code,kpass
0,0,2015,1,1,no_error,"74
",74,,"
with open('input.txt', 'r') as f:
    s = f.read()
    floor = 0
    for c in s:
        if c == '(':
            floor += 1
        elif c == ')':
            floor -= 1
    print(floor)
",0.0
1,1,2015,1,2,no_error,"1795
",1795,,"
with open('input.txt', 'r') as f:
    s = f.read()
    floor = 0
    for i, c in enumerate(s, start=1):
        if c == '(':
            floor += 1
        elif c == ')':
            floor -= 1
        if floor == -1:
            print(i)
            break
",0.0
4,4,2015,2,1,no_error,"1586300
",1586300,,"
with open('input.txt', 'r') as f:
    dimensions = [line.strip() for line in f.readlines()]

total_wrapping_paper = 0
for dimension in dimensions:
    l, w, h = [int(x) for x in dimension.split('x')]
    surface_area = 2*l*w + 2*w*h + 2*h*l
    smallest_side = min(l*w, w*h, h*l)
    total_wrapping_paper += surface_area + smallest_side

print(total_wrapping_paper)
",0.0
5,5,2015,2,2,wrong_output,"3753560
",3737498,,"
with open('input.txt', 'r') as f:
    dimensions = [line.strip() for line in f.readlines()]

total_ribbon = 0
for dimension in dimensions:
    l, w, h = [int(x) for x in dimension.split('x')]
    shortest_perimeter = 2 * min(l, w) + 2 * min(w, h) + 2 * min(h, l)
    volume = l * w * h
    total_ribbon += shortest_perimeter + volume

print(total_ribbon)
",2.0
6,6,2015,3,1,no_error,"2565
",2565,,"
with open('input.txt') as f:
    s = f.read()

x, y = 0, 0
houses = set()
houses.add((x, y))

for c in s:
    if c == '^':
        y += 1
    elif c == 'v':
        y -= 1
    elif c == '>':
        x += 1
    elif c == '<':
        x -= 1
    houses.add((x, y))

print(len(houses))
",0.0
7,7,2015,3,2,wrong_output,"2565
",2639,,"
with open('input.txt') as f:
    s = f.read()

x, y = 0, 0
houses = set()
houses.add((x, y))

for i, c in enumerate(s):
    if i % 2 == 0:
        if c == '^':
            y += 1
        elif c == 'v':
            y -= 1
        elif c == '>':
            x += 1
        elif c == '<':
            x -= 1
        houses.add((x, y))
    else:
        if c == '^':
            y += 1
        elif c == 'v':
            y -= 1
        elif c == '>':
            x += 1
        elif c == '<':
            x -= 1
        houses.add((x, y))

print(len(houses))
",2.0
8,8,2015,4,1,no_error,"117946
",117946,,"
import hashlib

def find_lowest_number(secret_key):
    number = 1
    while True:
        hash = hashlib.md5((secret_key + str(number)).encode()).hexdigest()
        if hash[:5] == '00000':
            return number
        number += 1

if __name__ == '__main__':
    with open('input.txt', 'r') as f:
        secret_key = f.read().strip()
    print(find_lowest_number(secret_key))
",0.0
9,9,2015,4,2,no_error,"3938038
",3938038,,"
import hashlib

def find_lowest_number(secret_key):
    number = 1
    while True:
        hash = hashlib.md5((secret_key + str(number)).encode()).hexdigest()
        if hash[:6] == '000000':
            return number
        number += 1

if __name__ == '__main__':
    with open('input.txt', 'r') as f:
        secret_key = f.read().strip()
    print(find_lowest_number(secret_key))
",0.0
12,12,2015,5,1,runtime_error,,236,"Traceback (most recent call last):
  File ""/tmp/tmpmf8csvem/tmp.py"", line 17, in <module>
    print(sum(1 for string in strings if is_nice(string)))
  File ""/tmp/tmpmf8csvem/tmp.py"", line 17, in <genexpr>
    print(sum(1 for string in strings if is_nice(string)))
  File ""/tmp/tmpmf8csvem/tmp.py"", line 8, in is_nice
    if not any(char == string[i+1] for i in range(len(string)-1)):
  File ""/tmp/tmpmf8csvem/tmp.py"", line 8, in <genexpr>
    if not any(char == string[i+1] for i in range(len(string)-1)):
NameError: name 'char' is not defined
","
vowels = 'aeiou'
disallowed = ['ab', 'cd', 'pq', 'xy']

def is_nice(string):
    if sum(1 for char in string if char in vowels) < 3:
        return False
    if not any(char == string[i+1] for i in range(len(string)-1)):
        return False
    if any(substring in string for substring in disallowed):
        return False
    return True

with open('input.txt', 'r') as f:
    strings = f.readlines()

print(sum(1 for string in strings if is_nice(string)))
",2.0
13,13,2015,5,2,part1_failed,,51,,,
14,14,2015,6,1,runtime_error,,400410,"Traceback (most recent call last):
  File ""/tmp/tmp_936el8c/tmp.py"", line 5, in <module>
    command, start, end = line.split()
ValueError: too many values to unpack (expected 3)
","
with open('input.txt', 'r') as f:
    lights = [[False] * 1000 for _ in range(1000)]
    for line in f:
        command, start, end = line.split()
        x1, y1 = map(int, start.split(','))
        x2, y2 = map(int, end.split(','))
        for i in range(x1, x2 + 1):
            for j in range(y1, y2 + 1):
                if command == 'turn on':
                    lights[i][j] = True
                elif command == 'turn off':
                    lights[i][j] = False
                elif command == 'toggle':
                    lights[i][j] = not lights[i][j]
    print(sum(sum(row) for row in lights))
",2.0
15,15,2015,6,2,part1_failed,,15343601,,,
16,16,2015,7,1,runtime_error,,46065,"  File ""/tmp/tmpwtynouyb/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def execute_instructions(instructions):
    wires = {}
    for instruction in instructions:
        parts = instruction.split()
        if len(parts) == 3:
            # Assignment
            wire = parts[2]
            if parts[0].isdigit():
                # Value assignment
                wires[wire] = int(parts[0])
            else:
                # Wire assignment
                wires[wire] = wires[parts[0]]
        elif len(parts) == 5:
            # Binary operation
            wire1, op, wire2, _, wire3 = parts
            if op == ""AND"":
                wires[wire3] = wires[wire1] & wires[wire2]
            elif op == ""OR"":
                wires[wire3] = wires[wire1] | wires[wire2]
            elif op == ""LSHIFT"":
                wires[wire3] = wires[wire1] << int(wire2)
            elif op == ""RSHIFT"":
                wires[wire3] = wires[wire1] >> int(wire2)
        elif len(parts) == 4:
            ",2.0
17,17,2015,7,2,part1_failed,,14134,,,
18,18,2015,8,1,syntax_error,,1371,"Traceback (most recent call last):
  File ""/tmp/tmplol3lprt/tmp.py"", line 13, in <module>
    total_memory_chars += len(eval('""' + line + '""'))
  File ""<string>"", line 1
    ""\a8br\8bjr""""
                ^
SyntaxError: EOL while scanning string literal
","
with open('input.txt', 'r') as f:
    lines = f.readlines()

total_code_chars = 0
total_memory_chars = 0
for line in lines:
    line = line.strip()[1:-1]  # remove quotes
    line = line.replace('\\""', '""')  # unescape quotes
    line = line.replace('\\\\', '\\')  # unescape backslashes
    line = line.replace('\\x', '\\')  # unescape hex characters
    total_code_chars += len(line)
    total_memory_chars += len(eval('""' + line + '""'))

print(total_code_chars - total_memory_chars)
",2.0
19,19,2015,8,2,part1_failed,,2117,,,
20,20,2015,9,1,runtime_error,,251,"Traceback (most recent call last):
  File ""/tmp/tmp1fct7bw7/tmp.py"", line 7, in <module>
    a, b, d = line.split()
ValueError: too many values to unpack (expected 3)
","
import itertools

with open('input.txt') as f:
    distances = {}
    for line in f:
        a, b, d = line.split()
        distances[a, b] = int(d)
        distances[b, a] = int(d)

    # Find all possible routes
    routes = list(itertools.permutations(distances.keys()))

    # Find the shortest route
    shortest_route = min(routes, key=lambda route: sum(distances[a, b] for a, b in zip(route, route[1:])))

    # Print the shortest route and its distance
    print(' -> '.join(shortest_route))
    print(sum(distances[a, b] for a, b in zip(shortest_route, shortest_route[1:])))
",2.0
21,21,2015,9,2,part1_failed,,898,,,
22,22,2015,10,1,runtime_error,,329356,"Traceback (most recent call last):
  File ""/tmp/tmpasfjgllp/tmp.py"", line 5, in <module>
    s = ''.join(str(len(list(g))) + k for k, g in itertools.groupby(s))
NameError: name 'itertools' is not defined
","
with open('input.txt') as f:
    s = f.read()
    for _ in range(40):
        s = ''.join(str(len(list(g))) + k for k, g in itertools.groupby(s))
    print(len(s))
",2.0
23,23,2015,10,2,part1_failed,,4666278,,,
24,24,2015,11,1,runtime_error,,vzbxxyzz,"  File ""/tmp/tmpwxcn9eyd/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
import itertools
import string

def is_valid(password):
    if len(password) != 8:
        return False
    if not all(c in string.ascii_lowercase for c in password):
        return False
    if not any(c in password for c in 'iol'):
        return False
    if not any(a == b for a, b in itertools.combinations(password, 2)):
        return False
    if not any(a == b == c for a, b, c in itertools.combinations(password, 3)):
        return False
    return True

def next_password(password):
    password = list(password)
    for i in range(7, -1, -1):
        if password[i] != 'z':
            password[i] = chr(ord(password[i]) + 1)
            break
    if password[0] == 'a':
        return None
    return ''.join(password)

with open('input.txt') as f:
    password = f.read().strip()

while not is_valid(password):
    password = next",2.0
25,25,2015,11,2,part1_failed,,vzcaabcc,,,
26,26,2015,12,1,no_error,"111754
",111754,,"
import json
import sys

def sum_numbers(obj):
    total = 0
    if isinstance(obj, dict):
        for key, value in obj.items():
            total += sum_numbers(value)
    elif isinstance(obj, list):
        for item in obj:
            total += sum_numbers(item)
    elif isinstance(obj, int):
        total += obj
    return total

with open('input.txt', 'r') as f:
    data = json.load(f)

print(sum_numbers(data))
",0.0
27,27,2015,12,2,wrong_output,"111754
",65402,,"
import json
import sys

def sum_numbers(obj):
    total = 0
    if isinstance(obj, dict):
        for key, value in obj.items():
            if value != ""red"":
                total += sum_numbers(value)
    elif isinstance(obj, list):
        for item in obj:
            total += sum_numbers(item)
    elif isinstance(obj, int):
        total += obj
    return total

with open('input.txt', 'r') as f:
    data = json.load(f)

print(sum_numbers(data))
",2.0
28,28,2015,13,1,runtime_error,,733,"  File ""/tmp/tmp1wtf554v/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def get_max_happiness(attendees):
    # Create a dictionary of attendees and their happiness values.
    happiness = {}
    for attendee in attendees:
        happiness[attendee] = {}
        for neighbor in attendees:
            if neighbor != attendee:
                happiness[attendee][neighbor] = int(attendee.split()[1])

    # Create a list of all possible seating arrangements.
    seating_arrangements = []
    for i in range(len(attendees)):
        for j in range(i + 1, len(attendees)):
            seating_arrangements.append([attendees[i], attendees[j]])

    # Find the seating arrangement that maximizes the total change in happiness.
    max_happiness = 0
    max_seating_arrangement = []
    for seating_arrangement in seating_arrangements:
        total_happiness = 0
        for i in range(len(seating_arrangement)):
            total_happiness += happiness[seating_arrangement[i]][seating_arrangement[(i + 1) % len(seating_arrangement)]]
            total_happiness +=",2.0
29,29,2015,13,2,part1_failed,,725,,,
30,30,2015,14,1,runtime_error,,2655,"  File ""/tmp/tmp5rku472x/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
with open('input.txt') as f:
    reindeer = [line.split() for line in f.readlines()]

seconds = int(reindeer[-1][0])
reindeer = reindeer[:-1]

# Create a dictionary of reindeer and their stats
reindeer_dict = {}
for reindeer in reindeer:
    reindeer_dict[reindeer[0]] = {'speed': int(reindeer[1]), 'fly_time': int(reindeer[2]), 'rest_time': int(reindeer[3])}

# Calculate the distance traveled by each reindeer
distances = {}
for reindeer, stats in reindeer_dict.items():
    cycle_time = stats['fly_time'] + stats['rest_time']
    num_cycles, remainder = divmod(seconds, cycle_time)
    distance = num_cycles * stats['speed'] * stats['fly_time']
    if remainder >= stats['fly_time']:
        distance += stats['speed'] * stats['fly_time']
    else:
        distance += stats['speed'] * remainder
    distances[reindeer] = distance

# Find the winning reindeer",2.0
31,31,2015,14,2,part1_failed,,1059,,,
