,year,day,part,status,output,expected_output,error,code,kpass
0,2015,1,1,no_error,"74
",74,,"
def find_floor(instructions):
    floor = 0

    for char in instructions:
        if char == '(':
            floor += 1
        elif char == ')':
            floor -= 1

    return floor

# Read the instructions from the input file
with open('input.txt', 'r') as file:
    instructions = file.read().strip()

# Find the floor using the instructions
result = find_floor(instructions)

# Print the result
print(result)
",0
1,2015,1,2,no_error,"1795
",1795,,"
def find_basement_position(instructions):
    floor = 0
    position = 0

    for char in instructions:
        position += 1

        if char == '(':
            floor += 1
        elif char == ')':
            floor -= 1

        if floor == -1:
            return position

    return -1  # No basement position found

# Read the instructions from the input file
with open('input.txt', 'r') as file:
    instructions = file.read().strip()

# Find the basement position using the instructions
result = find_basement_position(instructions)

# Print the result
print(result)
",0
2,2015,2,1,no_error,"1586300
",1586300,,"# Read input from file
with open('input.txt', 'r') as f:
    presents = f.read().splitlines()

# Initialize total wrapping paper needed
total_paper = 0

# Iterate over each present
for present in presents:
    # Split the dimensions of the present
    dimensions = present.split('x')
    
    # Convert the dimensions to integers
    l = int(dimensions[0])
    w = int(dimensions[1])
    h = int(dimensions[2])
    
    # Calculate the surface area of the present
    surface_area = 2*l*w + 2*w*h + 2*h*l
    
    # Find the area of the smallest side
    smallest_side = min(l*w, w*h, h*l)
    
    # Calculate the total wrapping paper needed for the present
    present_paper = surface_area + smallest_side
    
    # Add the total wrapping paper needed for the present to the total
    total_paper += present_paper

# Print the total wrapping paper needed
print(total_paper)",0
3,2015,2,2,no_error,"3737498
",3737498,,"# Read input from file
with open('input.txt', 'r') as f:
    presents = f.read().splitlines()

# Initialize total ribbon needed
total_ribbon = 0

# Iterate over each present
for present in presents:
    # Split the dimensions of the present
    dimensions = present.split('x')
    
    # Convert the dimensions to integers
    l = int(dimensions[0])
    w = int(dimensions[1])
    h = int(dimensions[2])
    
    # Calculate the smallest perimeter of any one face
    smallest_perimeter = min(2*l + 2*w, 2*w + 2*h, 2*h + 2*l)
    
    # Calculate the cubic feet of volume of the present
    volume = l * w * h
    
    # Calculate the total ribbon needed for the present
    present_ribbon = smallest_perimeter + volume
    
    # Add the total ribbon needed for the present to the total
    total_ribbon += present_ribbon

# Print the total ribbon needed
print(total_ribbon)",0
4,2015,3,1,no_error,"2565
",2565,,"
def count_houses(directions):
    x = 0
    y = 0
    visited_houses = set()
    visited_houses.add((x, y))

    for direction in directions:
        if direction == '>':
            x += 1
        elif direction == '<':
            x -= 1
        elif direction == '^':
            y += 1
        elif direction == 'v':
            y -= 1

        visited_houses.add((x, y))

    return len(visited_houses)


if __name__ == '__main__':
    with open('input.txt', 'r') as f:
        directions = f.read().strip()

    num_houses = count_houses(directions)
    print(num_houses)
",0
5,2015,3,2,no_error,"2639
",2639,,"
def count_houses(directions):
    santa_x = 0
    santa_y = 0
    robo_x = 0
    robo_y = 0
    visited_houses = set()
    visited_houses.add((santa_x, santa_y))

    for i, direction in enumerate(directions):
        if i % 2 == 0:
            # Santa's turn
            if direction == '>':
                santa_x += 1
            elif direction == '<':
                santa_x -= 1
            elif direction == '^':
                santa_y += 1
            elif direction == 'v':
                santa_y -= 1
            visited_houses.add((santa_x, santa_y))
        else:
            # Robo-Santa's turn
            if direction == '>':
                robo_x += 1
            elif direction == '<':
                robo_x -= 1
            elif direction == '^':
                robo_y += 1
            elif direction == 'v':
                robo_y -= 1
            visited_houses.add((robo_x, robo_y))

    return len(visited_houses)


if __name__ == '__main__':
    with open('input.txt', 'r') as f:
        directions = f.read().strip()

    num_houses = count_houses(directions)
    print(num_houses)
",0
6,2015,4,1,no_error,"117946
",117946,,"
import hashlib

# Read the secret key from input.txt
with open('input.txt') as f:
    secret_key = f.read().strip()

number = 1
while True:
    # Combine the secret key with the number
    message = secret_key + str(number)

    # Calculate the MD5 hash
    md5_hash = hashlib.md5(message.encode()).hexdigest()

    # Check if the hash starts with five zeroes
    if md5_hash.startswith('00000'):
        break

    number += 1

print(number)
",0
7,2015,4,2,no_error,"3938038
",3938038,,"
import hashlib

# Read the secret key from input.txt
with open('input.txt') as f:
    secret_key = f.read().strip()

number = 1
while True:
    # Combine the secret key with the number
    message = secret_key + str(number)

    # Calculate the MD5 hash
    md5_hash = hashlib.md5(message.encode()).hexdigest()

    # Check if the hash starts with six zeroes
    if md5_hash.startswith('000000'):
        break

    number += 1

print(number)
",0
8,2015,5,1,no_error,"236
",236,,"def is_nice_string(string):
    vowels = 'aeiou'
    disallowed_strings = ['ab', 'cd', 'pq', 'xy']
    vowel_count = 0
    double_letter = False
    for i in range(len(string)):
        if string[i] in vowels:
            vowel_count += 1
        if i < len(string)-1 and string[i] == string[i+1]:
            double_letter = True
        if i < len(string)-1 and string[i:i+2] in disallowed_strings:
            return False
    if vowel_count >= 3 and double_letter:
        return True
    else:
        return False

nice_count = 0
with open('input.txt', 'r') as file:
    for line in file:
        if is_nice_string(line.strip()):
            nice_count += 1

print(nice_count)",0
9,2015,5,2,no_error,"51
",51,,"def is_nice_string(string):
    pair = False
    repeat_with_one_between = False
    for i in range(len(string)-1):
        if string.count(string[i:i+2]) >= 2:
            pair = True
        if i < len(string)-2 and string[i] == string[i+2]:
            repeat_with_one_between = True
    if pair and repeat_with_one_between:
        return True
    else:
        return False

nice_count = 0
with open('input.txt', 'r') as file:
    for line in file:
        if is_nice_string(line.strip()):
            nice_count += 1

print(nice_count)",0
