,id,status,output,expected_output,error,code,difficulty
0,1,no_error,"233168
",233168,,"def sum_of_multiples():
    sum = 0
    for i in range(1, 1000):
        if i % 3 == 0 or i % 5 == 0:
            sum += i
    return sum

result = sum_of_multiples()
print(result)",5
1,2,no_error,"4613732
",4613732,,"
def sum_even_fibonacci(n):
    fib_sum = 0
    fib_prev = 1
    fib_curr = 2

    while fib_curr <= n:
        if fib_curr % 2 == 0:
            fib_sum += fib_curr

        fib_prev, fib_curr = fib_curr, fib_prev + fib_curr

    return fib_sum

n = 4000000
result = sum_even_fibonacci(n)
print(result)
",5
2,3,no_error,6857,6857,,"
import math

def largest_prime_factor(n):
    # Check if n is divisible by 2
    while n % 2 == 0:
        largest_factor = 2
        n = n // 2

    # Check for odd prime factors up to the square root of n
    for i in range(3, int(math.sqrt(n)) + 1, 2):
        while n % i == 0:
            largest_factor = i
            n = n // i

    # If n is prime and greater than 2
    if n > 2:
        largest_factor = n

    return largest_factor

# Find the largest prime factor of 600,851,475,143
number = 600851475143
result = largest_prime_factor(number)
print(""The largest prime factor of"", number, ""is:"", result)
",5
3,4,no_error,"906609
",906609,,"def largest_palindrome_product():
    largest_palindrome = 0
    
    for i in range(100, 1000):
        for j in range(i, 1000):
            product = i * j
            if str(product) == str(product)[::-1]: # Check if product is a palindrome
                if product > largest_palindrome:
                    largest_palindrome = product
    
    return largest_palindrome

print(largest_palindrome_product())",5
4,5,no_error,"232792560
",232792560,,"
def smallest_multiple():
    # Initialize the smallest multiple to 1
    smallest_multiple = 1

    # Iterate through numbers from 1 to 20
    for i in range(1, 21):
        # Check if the current number is a factor of the smallest multiple
        if smallest_multiple % i != 0:
            # Find the least common multiple of the current number and the smallest multiple
            smallest_multiple *= i // gcd(smallest_multiple, i)

    return smallest_multiple

# Function to find the greatest common divisor using Euclid's algorithm
def gcd(a, b):
    while b != 0:
        a, b = b, a % b
    return a

# Print the smallest multiple
print(smallest_multiple())
",5
5,6,no_error,"25164150
",25164150,,"
def sum_square_difference(n):
    sum_of_squares = 0
    square_of_sum = 0

    for i in range(1, n+1):
        sum_of_squares += i**2
        square_of_sum += i

    square_of_sum = square_of_sum**2

    return square_of_sum - sum_of_squares

difference = sum_square_difference(100)
print(difference)
",5
6,7,no_error,"104743
",104743,,"
def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def find_10001st_prime():
    count = 0
    num = 2
    while count < 10001:
        if is_prime(num):
            count += 1
        num += 1
    return num - 1

print(find_10001st_prime())
",5
7,8,runtime_error,,23514624000,"Traceback (most recent call last):
  File ""/tmp/tmpc8xuwrew/tmp.py"", line 14, in <module>
    largest_product = find_largest_product(number_string, adjacent_digits)
  File ""/tmp/tmpc8xuwrew/tmp.py"", line 7, in find_largest_product
    product *= int(number_string[j])
ValueError: invalid literal for int() with base 10: '.'
","
def find_largest_product(number_string, adjacent_digits):
    max_product = 0
    for i in range(len(number_string) - adjacent_digits + 1):
        product = 1
        for j in range(i, i + adjacent_digits):
            product *= int(number_string[j])
        if product > max_product:
            max_product = product
    return max_product

number_string = ""73167176531330624919225119674426574742355349194934...""
adjacent_digits = 13
largest_product = find_largest_product(number_string, adjacent_digits)

print(""The largest product of"", adjacent_digits, ""adjacent digits is:"", largest_product)
",5
8,9,wrong_output,"(200, 375, 425)
",31875000,,"
def find_pythagorean_triplet(sum_value):
    for a in range(1, sum_value):
        for b in range(a + 1, sum_value):
            c = sum_value - a - b
            if a**2 + b**2 == c**2:
                return (a, b, c)

triplet = find_pythagorean_triplet(1000)
print(triplet)
",5
9,10,no_error,"142913828922
",142913828922,,"
def sum_of_primes(n):
    sieve = [True] * (n + 1)
    sieve[0] = sieve[1] = False
    p = 2
    while p * p <= n:
        if sieve[p]:
            for i in range(p * p, n + 1, p):
                sieve[i] = False
        p += 1
    prime_sum = 0
    for i in range(2, n + 1):
        if sieve[i]:
            prime_sum += i
    return prime_sum

result = sum_of_primes(2000000)
print(result)
",5
10,11,runtime_error,,70600674,"Traceback (most recent call last):
  File ""/tmp/tmpa4fz9jkp/tmp.py"", line 39, in <module>
    largest_product = find_largest_product(grid)
  File ""/tmp/tmpa4fz9jkp/tmp.py"", line 7, in find_largest_product
    for j in range(len(grid[i]) - 3):
TypeError: object of type 'ellipsis' has no len()
","
def find_largest_product(grid):
    max_product = 0

    # Check horizontally
    for i in range(len(grid)):
        for j in range(len(grid[i]) - 3):
            product = grid[i][j] * grid[i][j+1] * grid[i][j+2] * grid[i][j+3]
            max_product = max(max_product, product)

    # Check vertically
    for i in range(len(grid) - 3):
        for j in range(len(grid[i])):
            product = grid[i][j] * grid[i+1][j] * grid[i+2][j] * grid[i+3][j]
            max_product = max(max_product, product)

    # Check diagonally (top-left to bottom-right)
    for i in range(len(grid) - 3):
        for j in range(len(grid[i]) - 3):
            product = grid[i][j] * grid[i+1][j+1] * grid[i+2][j+2] * grid[i+3][j+3]
            max_product = max(max_product, product)

    # Check diagonally (top-right to bottom-left)
    for i in range(len(grid) - 3):
        for j in range(3, len(grid[i])):
            product = grid[i][j] * grid[i+1][j-1] * grid[i+2][j-2] * grid[i+3][j-3]
            max_product = max(max_product, product)

    return max_product


grid = [
    [8, 2, 22, 97, 38, 15, 0, 40, 0, 75, 4, 5, 7, 78, 52, 12, 50, 77, 91, 8],
    [49, 49, 99, 40, 17, 81, 18, 57, 60, 87, 17, 40, 98, 43, 69, 48, 4, 56, 62, 0],
    [81, 49, 31, 73, 55, 79, 14, 29, 93, 71, 40, 67, 53, 88, 30, 3, 49, 13, 36, 65],
    ...
]

largest_product = find_largest_product(grid)
print(largest_product)
",5
11,12,no_error,"76576500
",76576500,,"
def highly_divisible_triangular_number(divisors):
    n = 1
    while True:
        triangle_number = (n * (n + 1)) // 2
        num_divisors = 0
        for i in range(1, int(triangle_number**0.5) + 1):
            if triangle_number % i == 0:
                num_divisors += 2
            if num_divisors > divisors:
                return triangle_number
        n += 1


result = highly_divisible_triangular_number(500)
print(result)
",5
12,13,wrong_output,,5537376230,,"def solve_mathematical_problem(numbers):
    """"""
    Function to calculate the sum of one hundred 50-digit numbers and return the first ten digits of the sum.
    
    Parameters:
    - numbers: a list of one hundred 50-digit numbers
    
    Returns:
    - first_ten_digits: the first ten digits of the sum of the numbers
    """"""
    
    # Initialize variables to store the sum and carry
    sum_digits = 0
    carry = 0
    
    # Iterate through each digit position from right to left
    for i in range(49, -1, -1):
        # Add the digits at position i of all the numbers and the carry
        for number in numbers:
            sum_digits += int(number[i])
        
        # Add the carry to the sum
        sum_digits += carry
        
        # Get the value of the carry for the next position
        carry = sum_digits // 10
        
        # Update the sum by taking only the last digit
        sum_digits %= 10
    
    # Convert the sum to a string and reverse it
    sum_digits = str(sum_digits)[::-1]
    
    # Return the first ten digits of the sum
    return sum_digits[:10]",5
13,14,no_error,"837799
",837799,,"def collatz_sequence_length(n):
    length = 1
    while n != 1:
        if n % 2 == 0:
            n = n // 2
        else:
            n = 3 * n + 1
        length += 1
    return length

def longest_collatz_sequence(limit):
    max_length = 0
    max_starting_number = 0
    for i in range(1, limit):
        length = collatz_sequence_length(i)
        if length > max_length:
            max_length = length
            max_starting_number = i
    return max_starting_number

print(longest_collatz_sequence(1000000))",5
