,Unnamed: 0,year,day,part,status,output,expected_output,error,code,kpass
0,0,2015,1,1,no_error,"74
",74,,"
with open('input.txt', 'r') as f:
    floor = 0
    for c in f.read():
        if c == '(':
            floor += 1
        elif c == ')':
            floor -= 1
    print(floor)
",0.0
1,1,2015,1,2,no_error,"1795
",1795,,"
with open('input.txt', 'r') as f:
    floor = 0
    for i, c in enumerate(f.read(), 1):
        if c == '(':
            floor += 1
        elif c == ')':
            floor -= 1
        if floor == -1:
            print(i)
            break
",0.0
4,4,2015,2,1,no_error,"1586300
",1586300,,"
def get_surface_area(l, w, h):
    return 2*l*w + 2*w*h + 2*h*l

def get_slack(l, w, h):
    return min(l*w, w*h, h*l)

total_wrapping_paper = 0
with open('input.txt', 'r') as f:
    for line in f:
        l, w, h = map(int, line.split('x'))
        total_wrapping_paper += get_surface_area(l, w, h) + get_slack(l, w, h)

print(total_wrapping_paper)
",0.0
5,5,2015,2,2,no_error,"3737498
",3737498,,"
def get_ribbon_length(l, w, h):
    return 2*min(l+w, w+h, h+l) + l*w*h

total_ribbon_length = 0
with open('input.txt', 'r') as f:
    for line in f:
        l, w, h = map(int, line.split('x'))
        total_ribbon_length += get_ribbon_length(l, w, h)

print(total_ribbon_length)
",0.0
8,8,2015,3,1,no_error,"2565
",2565,,"
with open('input.txt') as f:
    directions = f.read().strip()

houses = set()
x, y = 0, 0
houses.add((x, y))
for direction in directions:
    if direction == '^':
        y += 1
    elif direction == 'v':
        y -= 1
    elif direction == '>':
        x += 1
    elif direction == '<':
        x -= 1
    houses.add((x, y))

print(len(houses))
",0.0
9,9,2015,3,2,wrong_output,"2783
",2639,,"
with open('input.txt') as f:
    directions = f.read().strip()

houses = set()
x, y = 0, 0
houses.add((x, y))
for i, direction in enumerate(directions):
    if i % 2 == 0:
        if direction == '^':
            y += 1
        elif direction == 'v':
            y -= 1
        elif direction == '>':
            x += 1
        elif direction == '<':
            x -= 1
        houses.add((x, y))
    else:
        if direction == '^':
            y -= 1
        elif direction == 'v':
            y += 1
        elif direction == '>':
            x -= 1
        elif direction == '<':
            x += 1
        houses.add((x, y))

print(len(houses))
",2.0
10,10,2015,4,1,wrong_output,"609043
1048970
",117946,,"
import hashlib

def md5(s):
    return hashlib.md5(s.encode('utf-8')).hexdigest()

def mine(key):
    i = 0
    while True:
        h = md5(key + str(i))
        if h.startswith('00000'):
            return i
        i += 1

print(mine('abcdef'))
print(mine('pqrstuv'))
",2.0
11,11,2015,4,2,part1_failed,,3938038,,,
12,12,2015,5,1,no_error,"236
",236,,"
import re

def is_nice(string):
    return (
        sum(1 for c in string if c in 'aeiou') >= 3
        and re.search(r'(.)\1', string)
        and not re.search(r'ab|cd|pq|xy', string)
    )

with open('input.txt') as f:
    print(sum(1 for line in f if is_nice(line)))
",0.0
13,13,2015,5,2,no_error,"51
",51,,"
import re

def is_nice(string):
    return (
        re.search(r'(..).*\1', string)
        and re.search(r'(.).\1', string)
    )

with open('input.txt') as f:
    print(sum(1 for line in f if is_nice(line)))
",0.0
16,16,2015,6,1,runtime_error,,400410,"  File ""/tmp/tmp_4rq87v6/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def turn_on(grid, x1, y1, x2, y2):
    for i in range(x1, x2 + 1):
        for j in range(y1, y2 + 1):
            grid[i][j] = 1

def turn_off(grid, x1, y1, x2, y2):
    for i in range(x1, x2 + 1):
        for j in range(y1, y2 + 1):
            grid[i][j] = 0

def toggle(grid, x1, y1, x2, y2):
    for i in range(x1, x2 + 1):
        for j in range(y1, y2 + 1):
            grid[i][j] = 1 - grid[i][j]

def count_lights(grid):
    count = 0
    for i in range(1000):
        for j in range(1000):
            if grid[i][j] == 1:
                count += 1
    return",2.0
17,17,2015,6,2,part1_failed,,15343601,,,
