,year,day,part,status,output,expected_output,error,code
0,2015,1,1,no_error,74,74,,"
with open('input.txt') as f:
    floor = 0
    for c in f.read():
        if c == '(':
            floor += 1
        elif c == ')':
            floor -= 1
    print(floor)
"
1,2015,1,2,no_error,1795,1795,,"
with open('input.txt') as f:
    floor = 0
    for i, c in enumerate(f.read(), 1):
        if c == '(':
            floor += 1
        elif c == ')':
            floor -= 1
        if floor == -1:
            print(i)
            break
"
2,2015,2,1,no_error,1586300,1586300,,"
with open('input.txt') as f:
    total = 0
    for line in f:
        l, w, h = map(int, line.split('x'))
        total += 2*l*w + 2*w*h + 2*h*l + min(l*w, w*h, h*l)
    print(total)
"
3,2015,2,2,no_error,3737498,3737498,,"
with open('input.txt') as f:
    total = 0
    for line in f:
        l, w, h = map(int, line.split('x'))
        total += 2*min(l+w, w+h, h+l) + l*w*h
    print(total)
"
4,2015,3,1,no_error,2565,2565,,"
with open('input.txt') as f:
    moves = f.read()

houses = set()
x, y = 0, 0
houses.add((x, y))

for move in moves:
    if move == '^':
        y += 1
    elif move == 'v':
        y -= 1
    elif move == '>':
        x += 1
    elif move == '<':
        x -= 1
    houses.add((x, y))

print(len(houses))
"
5,2015,3,2,wrong_output,"2783
",2639,,"
with open('input.txt') as f:
    moves = f.read()

houses = set()
x, y = 0, 0
houses.add((x, y))

for i, move in enumerate(moves):
    if i % 2 == 0:
        if move == '^':
            y += 1
        elif move == 'v':
            y -= 1
        elif move == '>':
            x += 1
        elif move == '<':
            x -= 1
        houses.add((x, y))
    else:
        if move == '^':
            y -= 1
        elif move == 'v':
            y += 1
        elif move == '>':
            x -= 1
        elif move == '<':
            x += 1
        houses.add((x, y))

print(len(houses))
"
6,2015,4,1,no_error,117946,117946,,"
import hashlib

def mine_adventcoins(secret_key):
  """"""Finds the lowest positive number that produces an MD5 hash starting with five zeroes.""""""
  for i in range(1, 100000000):
    hash = hashlib.md5((secret_key + str(i)).encode()).hexdigest()
    if hash.startswith('00000'):
      return i

if __name__ == '__main__':
  with open('input.txt') as f:
    secret_key = f.read().strip()
  print(mine_adventcoins(secret_key))
"
7,2015,4,2,no_error,3938038,3938038,,"
import hashlib

def mine_adventcoins(secret_key):
  """"""Finds the lowest positive number that produces an MD5 hash starting with six zeroes.""""""
  for i in range(1, 100000000):
    hash = hashlib.md5((secret_key + str(i)).encode()).hexdigest()
    if hash.startswith('000000'):
      return i

if __name__ == '__main__':
  with open('input.txt') as f:
    secret_key = f.read().strip()
  print(mine_adventcoins(secret_key))
"
8,2015,5,1,no_error,236,236,,"
vowels = 'aeiou'
bad_strings = ['ab', 'cd', 'pq', 'xy']

def is_nice(string):
    if sum(1 for c in string if c in vowels) < 3:
        return False
    if not any(c == string[i+1] for i, c in enumerate(string[:-1])):
        return False
    if any(bad in string for bad in bad_strings):
        return False
    return True

with open('input.txt') as f:
    print(sum(1 for line in f if is_nice(line.strip())))
"
9,2015,5,2,no_error,51,51,,"
def is_nice(string):
    return any(string.count(pair) >= 2 for pair in set(string[i:i+2] for i in range(len(string)-1))) and any(c == string[i+2] for i, c in enumerate(string[:-2]))

with open('input.txt') as f:
    print(sum(1 for line in f if is_nice(line.strip())))
"
10,2015,6,1,runtime_error,,400410,"  File ""/tmp/tmpvtxk9l4l/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def parse_instruction(instruction):
    action, coords = instruction.split(' ')
    coords = coords.split('through')
    x1, y1 = map(int, coords[0].split(','))
    x2, y2 = map(int, coords[1].split(','))
    return action, (x1, y1), (x2, y2)

def apply_instruction(grid, instruction):
    action, (x1, y1), (x2, y2) = parse_instruction(instruction)
    for x in range(x1, x2 + 1):
        for y in range(y1, y2 + 1):
            if action == 'turn on':
                grid[x][y] = True
            elif action == 'turn off':
                grid[x][y] = False
            elif action == 'toggle':
                grid[x][y] = not grid[x][y]

def count_lights(grid):
    count = 0
    for row in grid:
        for light in row:
            if light:
                count +="
11,2015,6,2,part1_failed,,15343601,," ```python
def parse_instruction(instruction):
    action, coords = instruction.split(' ')
    coords = coords.split('through')
    x1, y1 = map(int, coords[0].split(','))
    x2, y2 = map(int, coords[1].split(','))
    return action, (x1, y1), (x2, y2)

def apply_instruction(grid, instruction):
    action, (x1, y1), (x2, y2) = parse_instruction(instruction)
    for x in range(x1, x2 + 1):
        for y in range(y1, y2 + 1):
            if action == 'turn on':
                grid[x][y] = True
            elif action == 'turn off':
                grid[x][y] = False
            elif action == 'toggle':
                grid[x][y] = not grid[x][y]

def count_lights(grid):
    count = 0
    for row in grid:
        for light in row:
            if light:
                count +="
12,2015,7,1,runtime_error,,46065,"Traceback (most recent call last):
  File ""/tmp/tmppawad45v/tmp.py"", line 27, in <module>
    print(get_signal('a'))
  File ""/tmp/tmppawad45v/tmp.py"", line 6, in get_signal
    if instruction[2] == wire:
IndexError: list index out of range
","
def get_signal(wire):
    if wire in signals:
        return signals[wire]
    for instruction in instructions:
        if instruction[2] == wire:
            op, a, b = instruction
            if op == 'AND':
                signals[wire] = get_signal(a) & get_signal(b)
            elif op == 'OR':
                signals[wire] = get_signal(a) | get_signal(b)
            elif op == 'LSHIFT':
                signals[wire] = get_signal(a) << int(b)
            elif op == 'RSHIFT':
                signals[wire] = get_signal(a) >> int(b)
            elif op == 'NOT':
                signals[wire] = ~get_signal(a) & 0xFFFF
            else:
                signals[wire] = int(a)
            return signals[wire]
    return None

with open('input.txt') as f:
    instructions = [line.strip().split(' -> ') for line in f]

signals = {}
print(get_signal('a'))
"
