,year,day,part,status,output,expected_output,error,code,kpass
0,2015,1,1,no_error,74,74,,"
def get_floor(instructions):
    floor = 0
    for d in instructions:
        if d == '(':
            floor += 1
        elif d == ')':
            floor -= 1
    return floor

input_instructions = open('input.txt', 'r').read().strip()
floor = get_floor(input_instructions)
print(f""The instructions take Santa to floor {floor}."")
",0
1,2015,1,2,wrong_output,"((((()(()(((((((()))(((()((((()())(())()(((()((((((()((()(()(((()(()((())))()((()()())))))))))()((((((())((()))(((((()(((((((((()()))((()(())()((())((()(()))((()))()))()(((((()(((()()))()())((()((((())()())()((((())()(()(()(((()(())(()(())(((((((())()()(((())(()(()(()(())))(()((((())((()))(((()(()()(((((()()(()(((()(((((())()))()((()(()))()((()((((())((((())(()(((())()()(()()()()()(())((((())((())(()()))()((((())))((((()())()((((())((()())((())(())(((((()((((()(((()((((())(()(((()()))()))((((((()((())()())))(((()(()))(()()(()(((()(()))((()()()())((()()()(((())())()())())())((()))(()(()))(((((()(()(())((()(())(())()((((()())()))((((())(())((())())((((()(((())(())((()()((((()((((((()(())()()(()(()()((((()))(())()())()))(())))(())))())()()(())(()))()((()(()(())()()))(()())))))(()))(()()))(())(((((()(()(()()((())()())))))((())())((())(()(())((()))(())(((()((((((((()()()(()))()()(((()))()((()()(())(())())()(()(())))(((((()(())(())(()))))())()))(()))()(()(((((((()((((())))())())())())()((((((((((((((()()((((((()()()())())()())())())(())(())))())((()())((()(()))))))()))))))))))))))))())((())((())()()))))))(((()((()(()()))((())(()()))()()())))(())))))))(()(((())))())()())))()()(())()))()(()))())((()()))))(()))))()))(()()(())))))))()(((()))))()(()))(())())))))()))((()))((()))())(())))))))))((((())()))()))()))())(())()()(())))())))(()())()))((()()(())))(())((((((()(())((()(((()(()()(())))()))))))()))()(()((()))()(()))(()(((())((((())())(())(()))))))))())))))))())())))))())))))()()(((())()(()))))))))())))))(())()()()))()))()))(()(())()()())())))))))())()(()(()))))()()()))))())(()))))()()))))()())))))(((())()()))(()))))))))))()()))))()()()))))(()())())()()())()(()))))()(()))(())))))))(((((())(())())()()))()()))(())))))()(()))))(())(()()))()())()))()))()))()))))())()()))())())))(()))(()))))))())()(((())()))))))))()))()())))())))())))()))))))))))()()))(()()))))))(())()(()))))())(()))))(()))))(()())))))())())()()))))())()))))))))(()))))()))))))()(()())))))))()))())))())))())))())))))))())(()()))))))(()())())))()())()))))))))))))))())))()(())))()))())()()(())(()()))(())))())()())(()(()(()))))())))))))))))())(()))()))()))))(())()())()())))))))))))()()))))))))))))())())))))(()())))))))))))())(())))()))))))))())())(()))()))(())))()))()()(())()))))))()((((())()))())())))))()))()))))((()())()))))())))(())))))))))))))))))()))))()()())()))()()))))())()))((()())))())))(()))(()())))))))()))()))))(())))))))(())))))())()()(()))())()))()()))))())()()))))())()))())))))))(()))))()())()))))))))(()))())))(()))()))))(())()))())())(())())())))))))((((())))))()))()))()())()(())))()))()))()())(()())()()(()())()))))())())))))(()))()))))())(()()(())))))(())()()((())())))))(())(())))))))())))))))))()(())))))))()())())())()(()))))))))(()))))))))())()()))()(()))))))()))))))())))))))(())))()()(())()())))))(((())))()((())()))())))(()()))())(())())))()(((()())))))()(()()())))()()(()()(()()))())()(()()()))())()()))()())(()))))())))))())))(())()()))))(()))))(())(()))(())))))()()))()))))())()))()()(())())))((()))())()))))))()()))))((()(()))))()()))))))())))))())(()((()())))))))))))()())())))()))(()))))))(()))(())()())))(()))))))))())()()()()))))(()())))))))((())))()))(()))(())(())()())()))))))))(())))())))(()))()()))(()()))(()))())))()(())))())((()((()(())))((())))()))))((((())())()())))(())))()))))))())(()()((())))())()(()())))))(()())()))())))))))((())())))))))(()(()))())()()(()()(((()(((()())))))()))))))()(())(()()((()()(())()()))())()())()))()())())())))))))(((())))))))()()))))))(((())()))(()()))(()()))))(()(()()((((())()())((()()))))(()(())))))()((()()()())()()((()((()()))(()))(((()()()))(((())))()(((())()))))))((()(())())))(()())(((((()(()))(()((()))(()())()))))(()(()))()(()))(())(((())(()()))))()()))(((()))))(()()()()))())))((()()()(())()))()))))()()))()))))))((((((()()()))))())((()()(((()))))(()(())(()()())())())))()(((()()))(())((())))(()))(()()()())((())())())(()))))()))()((()(())()(()()(())(()))(())()))(())(()))))(())(())())(()()(()((()()((())))((()))()((())))(((()()()()((((()))(()()))()()()(((())((())())(()()(()()()))()((())(())()))())(((()()(())))()((()()())()())(()(())())(((())(())())((())(())()(((()()))(())))((())(()())())(())((()()()((((((())))((()(((((())()))()))(())(()()))()))(())()()))(())((()()())()()(()))())()((())))()((()()())((((()())((())())())((()((()))()))((())((()()(()((()()(((())(()()))))((()((())()(((())(()((())())((())(()((((((())())()(()())()(())(((())((((((()(())(()((()()()((()()(()()()())))()()(((((()()))()((((((()))()(()(()(()(((()())((()))())()((()))(())))()))()()))())()()))())((((())(()(()))(((((((())(((()(((((()(((()()((((())(((())())))(()()()(()(()))()))((((((()))((()(((()(())((()((((()((((((())(((((())))(((()(()))))(((()(((())()((())(()((()))(((()()(((())((((()(()(((((()))(((()(((((((()(()()()(()(()(()()())(())(((((()(())())()())(()(()(()))()(()()()())(()()(()((()))()((())())()(()))((())(()))()(()))()(((()(()(()((((((()()()()())()(((((()()(((()()()((()(((((()))((((((((()()()(((((()))))))(()()()(())(()))(()()))))(())()))(((((()(((((()()(()(()())(((()))((((()((()(()(()((()(()((())))()(((()((()))((()))(((((((((()((()((()(())))()((((()((()()))((())(((()(((((()()(()(()()((()(()()()(((((((())())()())))))((((()()(()))()))(()((())()(()(((((((((()()(((()(()())(()((()())((())())((((()(((()(((()((((()((()((((()(()((((((())((((((((((((()()(()()((((((((((((((()((()()))()((((((((((((())((((()(()())((()(()(()))()(((((()()(((()()))()())(())((()(((((()((())(((((()((()(((((()))()()((((())()((((())(((((((((()(())(()(())))())(()((())(((())(())(())())(()(()(())()()((()((())()(((()(((((()(())))()(((()((())))((()()()(((()(((()((()(()(())(()((()())(()(()(((()(((((((((())(()((((()()))(()((((()()()()(((()((((((((()(()()((((((()(()()(()((()((((((((((()()(((((((()())(())))(((()()))(((((()((()()())(()()((((())((()((((()))))(())((()(()()(((()(()(((()((((()(((((()))())())(()((())()))(((()())((())((())((((()((()((((((())(()((((()()))((((((())()(()))((()(((())((((((((((()()(((((()(((((()((()()()((((())))(()))()((()(())()()((()((((((((((()((())(())(((((()(()(()()))((((()((((()()((()(((()(((((((((()(()((()((()))((((((()(((())()()((()(((((((()())))()()(()((()((()()(((()(()()()()((((()((())((((()(((((((((()(((()()(((()(()(((()(((()((())()(()((()(()(()(()))()(((()))(()((((()((())((((())((((((())(()))(()((((())((()(()((((((((()()((((((()(()(()()()(())((()((()()(((()(((((((()()((()(((((((()))(((((()(((()(()()()(()(((()((()()((())(()(((((((((()(()((()((((((()()((())()))(((((()((())()())()(((((((((((()))((((()()()()())(()()(()(()()))()))(()))(()(((()()))())(()(()))()()((())(()())()())()(()))()))(()()(()((((((())((()(((((((((((()(())()((()(()((()((()(()((()((((((((((()()())((())()(())))((())()())()(((((()(()())((((()((()(())(()))(((())()((()))(((((())(()))()()(()))(((())((((()((((()(())))(((((((()))))())()())(())((())()(()()((()(()))()(()()(()()((()())((())((()()))((((()))()()))(()()(())()()(((((()(())((()((((()))()))(()())())(((()()(()()))(())))))(()))((())(((((()((((()))()((((()))()((())(((())))(((()())))((()(()()((
",1795,,"with open(""input.txt"", ""r"") as file:
    data = file.read()

# Replace the following line with your first part of the program
# that operates on the data read from the 'input.txt' file
print(data)",0
2,2015,2,1,no_error,"1586300
",1586300,,"
total_paper = 0
with open('input.txt', 'r') as file:
    for line in file:
        dimensions = list(map(int, line.strip().split('x')))
        l, w, h = sorted(dimensions)
        paper_for_box = 2*l*w + 2*w*h + 2*h*l + l*w
        total_paper += paper_for_box

print(total_paper)
",0
3,2015,2,2,runtime_error,,3737498,"Traceback (most recent call last):
  File ""/tmp/tmpwjbixvkd/tmp.py"", line 5, in <module>
    result = perform_task(data)
NameError: name 'perform_task' is not defined
","with open('input.txt', 'r') as file:
    data = file.read()

# Replace the following line with the specific task you want to accomplish
result = perform_task(data)

# Example function to perform a task on the input data
def perform_task(data):
    # Perform the task and generate the output
    output = do_something(data)

    # Optionally, you can write the output to a file
    with open('output.txt', 'w') as file:
        file.write(output)

    return output

# Replace this line with the specific function you want to use
def do_something(data):
    # Example implementation: simply returns the input data
    return data",0
4,2015,3,1,no_error,"2565
",2565,,"CHANTSCRIPT = ""input.txt""

def houses_visited(moves: str) -> int:
    x, y, houses = 0, 0, {(0, 0)}
    for move in moves:
        if move == ""^"":
            y += 1
        elif move == ""v"":
            y -= 1
        elif move == "">"":
            x += 1
        elif move == ""<"":
            x -= 1
        houses.add((x, y))
    return len(houses)

if __name__ == ""__main__"":
    with open(CHANTSCRIPT) as file:
        moves = file.read().strip()
    print(houses_visited(moves))",0
5,2015,3,2,runtime_error,,2639,"Traceback (most recent call last):
  File ""/tmp/tmp6ka8741k/tmp.py"", line 6, in <module>
    result = some_function(data)
NameError: name 'some_function' is not defined
","with open(""input.txt"", ""r"") as file:
    data = file.read()

# Replace this with the specific instructions for the second part of the task
# For example:
result = some_function(data)

# Write the result to an output file
with open(""output.txt"", ""w"") as file:
    file.write(str(result))",0
6,2015,4,1,syntax_error,,117946,"  File ""/tmp/tmpx678q7vm/tmp.py"", line 3
    with open(""input.txt"", ""r"") as input\_file:
                                         ^
SyntaxError: unexpected character after line continuation character
","import hashlib

with open(""input.txt"", ""r"") as input\_file:
secret\_key = input\_file.read().strip()

number = 0
while True:
candidate = hashlib.md5((secret\_key + str(number)).encode()).hexdigest()
if candidate.startswith(""00000""):
print(""The lowest positive number that produces an MD5 hash starting with five zeroes is:"", number)
break
number += 1",0
7,2015,5,1,wrong_output,"Number of nice strings: 236
",236,,"
with open('input.txt', 'r') as f:
    lines = f.readlines()

vowels = set('aeiou')
naughty_strings = set(['ab', 'cd', 'pq', 'xy'])

def is_nice(s):
    vowel_count = sum(1 for c in s if c in vowels)
    if vowel_count < 3:
        return False
    if not any(s[i] == s[i+1] for i in range(len(s)-1)):
        return False
    if any(ns in s for ns in naughty_strings):
        return False
    return True

nice_strings = sum(is_nice(line.strip()) for line in lines)
print(f'Number of nice strings: {nice_strings}')
",0
8,2015,6,1,runtime_error,,400410,"Traceback (most recent call last):
  File ""/tmp/tmptf2hgnwe/tmp.py"", line 10, in <module>
    x1, y1, x2, y2 = map(int, instruction[1].split(','))
ValueError: invalid literal for int() with base 10: 'off'
","
# initialize the grid of lights with all values set to 0 (off)
grid = [[0]*1000 for _ in range(1000)]

# read the instructions from the input file
with open(""input.txt"") as f:
    for line in f:
        instruction = line.strip().split()
        action = instruction[0]
        x1, y1, x2, y2 = map(int, instruction[1].split(','))
        x1, y1, x2, y2 = min(x1, x2), min(y1, y2), max(x1, x2), max(y1, y2)
        
        # apply the instruction to the grid
        for x in range(x1, x2+1):
            for y in range(y1, y2+1):
                if action == ""turn on"":
                    grid[x][y] += 1
                elif action == ""turn off"":
                    grid[x][y] = max(grid[x][y] - 1, 0)
                elif action == ""toggle"":
                    grid[x][y] += 2

# count the number of lights that are on
lights_on = sum(sum(row) for row in grid)
print(lights_on)
",0
9,2015,7,1,runtime_error,,46065,"Traceback (most recent call last):
  File ""/tmp/tmp07ry_5p0/tmp.py"", line 8, in <module>
    input_wires, gate_operation, output_wire = line.split("" -> "")
ValueError: not enough values to unpack (expected 3, got 2)
","
# Read in the input file and initialize a dictionary to store the wire signals
with open(""input.txt"", ""r"") as f:
    wire_signals = {""a"": None, ""b"": None, ""c"": None, ""d"": None, ""e"": None, ""f"": None, ""g"": None, ""h"": None, ""i"": None}
    for line in f:
        line = line.strip()
        # Extract the input and output wires and the gate operation
        input_wires, gate_operation, output_wire = line.split("" -> "")
        input_values = [int(x) if x.isdigit() else wire_signals[x] for x in input_wires.split()]
        # Perform the gate operation and store the result in the wire signals dictionary
        if gate_operation == ""AND"":
            wire_signals[output_wire] = input_values[0] & input_values[1]
        elif gate_operation == ""OR"":
            wire_signals[output_wire] = input_values[0] | input_values[1]
        elif gate_operation == ""LSHIFT"":
            wire_signals[output_wire] = input_values[0] << int(input_wires.split()[-1])
        elif gate_operation == ""RSHIFT"":
            wire_signals[output_wire] = input_values[0] >> int(input_wires.split()[-1])
        elif gate_operation == ""NOT"":
            wire_signals[output_wire] = ~input_values[0]
        else:
            wire_signals[output_wire] = input_values[0]

# Print the signal on wire 'a'
print(wire_signals[""a""])
",0
