,year,day,part,status,output,expected_output,error,code,kpass
0,2015,1,1,no_error,"74
",74,,"
def find_floor(input_str):
    floor = 0
    for p in input_str:
        if p == '(':
            floor += 1
        elif p == ')':
            floor -= 1
    return floor

with open('input.txt', 'r') as f:
    input_str = f.read()
    floor = find_floor(input_str)
    print(floor)
",0
1,2015,2,1,wrong_output,"1448967
",1586300,,"
# Read the input file
with open('input.txt', 'r') as file:
    lines = file.readlines()

# Initialize a list to store the total square footage of wrapping paper required for each present
total_wrap_paper = []

# Loop through each line of the input file
for line in lines:
    l, w, h = map(int, line.strip().split('x'))
    # Calculate the surface area of the present
    surface_area = 2*l*w + 2*w*h + 2*h*l
    # Calculate the area of the smallest side
    smallest_side = min(l, min(w, h))
    # Add the area of the smallest side as slack for the present
    slack = smallest_side
    # Add the surface area and slack to get the total square footage of wrapping paper required for the present
    total_wrap_paper.append(surface_area + slack)

# Print the total square footage of wrapping paper required for all the presents
print(sum(total_wrap_paper))
",0
2,2015,3,1,timeout_error,,2565,TIMEOUT,"
def santa_movements(input_file):
    with open(input_file, 'r') as f:
        santa_moves = f.read()

    grid = [[0] * 100000 for _ in range(100000)]
    visited = set()

    for i, move in enumerate(santa_moves):
        x, y = 0, 0
        if move == '^':
            y -= 1
        elif move == 'v':
            y += 1
        elif move == '>':
            x += 1
        elif move == '<':
            x -= 1
        visited.add((x, y))
        grid[x][y] += 1

    return sum(1 for row in grid for visited_count in row if visited_count > 0)

santa_movements('input.txt')
",0
3,2015,4,1,timeout_error,,117946,TIMEOUT,"
import hashlib

with open('input.txt', 'r') as f:
    secret_key = f.readline().strip()

hash_start = '00000' * 5

while True:
    num = int(input('Enter a positive number: '))
    if num == 0:
        print('Please enter a positive number.')
        continue
    hash_value = hashlib.md5(secret_key + str(num).zfill(8)).hexdigest()
    if hash_value.startswith(hash_start):
        print(f'The lowest number that satisfies the condition is {num}.')
        break
",0
4,2015,5,1,wrong_output,"965
",236,,"
def is_nice_string(s):
    vowels = 'aeiou'
    double_letters = set()
    for i in range(len(s)-1):
        if s[i] in vowels and s[i+1] in vowels:
            return True
        if s[i] in double_letters:
            return True
        if s[i:i+2] in ('ab', 'cd', 'pq', 'xy'):
            return False
        double_letters.add(s[i])

    return False

with open('input.txt', 'r') as f:
    strings = [line.strip() for line in f]

nice_strings = [s for s in strings if is_nice_string(s)]

print(len(nice_strings))
",0
5,2015,6,1,runtime_error,,400410,"Traceback (most recent call last):
  File ""/tmp/tmp7v7toi89/tmp.py"", line 11, in <module>
    for cmd, x1, y1, x2, y2 in instructions:
ValueError: too many values to unpack (expected 5)
","
# Read input from file
with open('input.txt', 'r') as f:
    instructions = [line.strip() for line in f.readlines() if line.strip()]

# Initialize light grid and counter
grid = [[False for _ in range(1000)] for _ in range(1000)]
on_count = 0

# Execute instructions and update grid and counter
for cmd, x1, y1, x2, y2 in instructions:
    if cmd == 'turn on':
        for x in range(x1, x2+1):
            for y in range(y1, y2+1):
                grid[x][y] = True
                on_count += 1
    elif cmd == 'turn off':
        for x in range(x1, x2+1):
            for y in range(y1, y2+1):
                grid[x][y] = False
    elif cmd == 'toggle':
        for x in range(x1, x2+1):
            for y in range(y1, y2+1):
                grid[x][y] = not grid[x][y]

# Print the number of turned on lights
print(on_count)
",0
6,2015,7,1,runtime_error,,46065,"Traceback (most recent call last):
  File ""/tmp/tmp8i0b6abw/tmp.py"", line 8, in <module>
    wire_values[instruction.split(' -> ')[1]] = int(instruction.split(' -> ')[0], 16)
ValueError: invalid literal for int() with base 16: 'bn RSHIFT 2'
","
with open('input.txt', 'r') as f:
    instructions = [line.strip() for line in f.readlines()]

wire_values = {}
for instruction in instructions:
    if '->' in instruction:
        wire_values[instruction.split(' -> ')[1]] = int(instruction.split(' -> ')[0], 16)
    elif 'AND' in instruction:
        wire_values[instruction.split(' AND ')[2]] = (wire_values[instruction.split(' AND ')[0]] & wire_values[instruction.split(' AND ')[1]]).to_bits(16)
    elif 'OR' in instruction:
        wire_values[instruction.split(' OR ')[2]] = (wire_values[instruction.split(' OR ')[0]] | wire_values[instruction.split(' OR ')[1]]).to_bits(16)
    elif 'LSHIFT' in instruction:
        wire_values[instruction.split(' LSHIFT ')[2]] = wire_values[instruction.split(' LSHIFT ')[0]] << int(instruction.split(' LSHIFT ')[1])
    elif 'RSHIFT' in instruction:
        wire_values[instruction.split(' RSHIFT ')[2]] = wire_values[instruction.split(' RSHIFT ')[0]] >> int(instruction.split(' RSHIFT ')[1])
    elif 'NOT' in instruction:
        wire_values[instruction.split(' NOT ')[1]] = ~wire_values[instruction.split(' NOT ')[0]]

print(wire_values[instructions[0].split(' -> ')[1]])
",0
7,2015,8,1,runtime_error,,1371,"Traceback (most recent call last):
  File ""/tmp/tmpijutkcen/tmp.py"", line 9, in <module>
    memory_len = sum(ord(c) for c in strings)
  File ""/tmp/tmpijutkcen/tmp.py"", line 9, in <genexpr>
    memory_len = sum(ord(c) for c in strings)
TypeError: ord() expected a character, but string of length 16 found
","
with open('input.txt', 'r') as f:
    strings = [line.strip('""') for line in f.readlines()]

total_code_len = 0
for s in strings:
    total_code_len += len(s) + 1

memory_len = sum(ord(c) for c in strings)

print(""Difference:"", total_code_len - memory_len)
",0
8,2015,9,1,runtime_error,,251,"Traceback (most recent call last):
  File ""/tmp/tmpo2wl7f6_/tmp.py"", line 10, in <module>
    distances_dict[d[0] + ' to ' + d[1]] = int(d[2])
IndexError: list index out of range
","
# Read input distances from file
with open('input.txt', 'r') as f:
    distances = f.readlines()

# Convert distances to dictionary
distances_dict = {}
for d in distances:
    d = d.strip().split(' = ')
    distances_dict[d[0] + ' to ' + d[1]] = int(d[2])

# Find shortest distance
def shortest_distance(distances_dict):
    distances = []
    for i in range(len(distances_dict)):
        for j in range(i+1, len(distances_dict)):
            d = distances_dict[distances_dict[i] + ' to ' + distances_dict[j]] + distances_dict[distances_dict[j] + ' to ' + distances_dict[distances_dict[i]]]
            distances.append(d)
    return distances[0]

result = shortest_distance(distances_dict)
print(result)
",0
9,2015,10,1,runtime_error,,329356,"  File ""/tmp/tmpmmb5k26i/tmp.py"", line 1
    import itertools
    ^
IndentationError: unexpected indent
"," import itertools

def look_and_say(input_string):
    output = input_string
    for i in range(40):
        output = ''.join([str(len(list(group))) + k for k, group in itertools.groupby(output)])
    return output

with open('input.txt', 'r') as f:
    input_string = f.read()

result = look_and_say(input_string)
print(len(result))",0
10,2015,11,1,timeout_error,,vzbxxyzz,TIMEOUT,"
import re

def generate_password():
    current_password = input(""Enter your current password: "")
    
    # Check if the password meets the requirements
    if not re.match(r""^(?=.*[abcdefghijklmnopqrstuvwxyz]{8})(?=.*[^iol])(?=.*[^iol]).*$"", current_password):
        return ""Invalid password. Please try again.""
    
    # Find the increasing straight and swap it with another letter to avoid using ""iol""
    match = re.search(r""(?<=[abcdefghijklmnopqrstuvwxyz]{3})[abcdefghijklmnopqrstuvwxyz]{2}(?=[abcdefghijklmnopqrstuvwxyz]{3})"", current_password)
    if match:
        new_password = current_password.replace(match.group(), match.group().replace('i', 'j').replace('o', 'k').replace('l', 'm'))
    else:
        new_password = current_password
    
    # Find overlapping pairs of letters and swap them
    overlapping_pairs = []
    for i in range(len(current_password) - 1):
        for j in range(i + 1, len(current_password)):
            if current_password[i] != current_password[j]:
                if current_password[i] in current_password[j:] and current_password[j] in current_password[:i]:
                    overlapping_pairs.append((current_password[i], current_password[j]))
    if overlapping_pairs:
        new_password = ''.join(new_password[:i] + new_password[i+1:j] + new_password[j+1:] + \
                              new_password[i+1:j+1] + new_password[j+2:])
    else:
        new_password = new_password
    
    # Check if the new password meets the requirements
    if not re.match(r""^(?=.*[abcdefghijklmnopqrstuvwxyz]{8})(?=.*[^iol])(?=.*[^iol]).*$"", new_password):
        return ""Invalid password. Please try again.""
    
    return new_password

# Example usage
print(generate_password())
",0
11,2015,12,1,wrong_output,"0
",111754,,"
import json

with open('input.txt', 'r') as f:
    data = json.load(f)

sum_of_numbers = 0
for item in data:
    if isinstance(item, (int, float)):
        sum_of_numbers += item
    elif isinstance(item, (list, tuple, dict)):
        for sub_item in item:
            sum_of_numbers += sum_of_numbers(sub_item)

print(sum_of_numbers)
",0
12,2015,13,1,runtime_error,,733,"Traceback (most recent call last):
  File ""/tmp/tmpee7xsypd/tmp.py"", line 13, in <module>
    happiness_dict[(attendees[i], attendees[j])] = int(attendees[i].split()[2])  # gain or lose
AttributeError: 'list' object has no attribute 'split'
","
# define the input file
input_file = 'input.txt'

# read the input file and store it in a list
with open(input_file, mode='r') as f:
    attendees = [line.strip().split(' ') for line in f.readlines()]

# create a dictionary to store the happiness values for each pair of attendees
happiness_dict = {}
for i in range(len(attendees)):
    for j in range(i+1, len(attendees)):
        happiness_dict[(attendees[i], attendees[j])] = int(attendees[i].split()[2])  # gain or lose
        happiness_dict[(attendees[j], attendees[i])] = -happiness_dict[(attendees[i], attendees[j])]

# sort the attendees list by happiness_dict values in descending order
attendees.sort(key=lambda x: happiness_dict[x], reverse=True)

# print the optimal seating arrangement
for i in range(len(attendees)):
    print(attendees[i], happiness_dict[(attendees[i], attendees[(i+1)%len(attendees)])])
",0
13,2015,14,1,runtime_error,,2655,"Traceback (most recent call last):
  File ""/tmp/tmpr4358i6z/tmp.py"", line 16, in <module>
    seconds = int(lines[0])
ValueError: invalid literal for int() with base 10: 'Blitzen can fly 13 km/s for 4 seconds, but then must rest for 49 seconds.\n'
","
import math

def calculate_distance(name, speed, time):
    distance = 0
    for i in range(int(time)):
        if i < time % 2:
            distance += speed
        else:
            distance += 0
    return distance

with open('input.txt', 'r') as file:
    lines = file.readlines()
    lines.pop(0)  # Remove the header line
    seconds = int(lines[0])
    reindeer = []
    for line in lines[1:]:
        name, speed, flying_time, resting_time = line.strip().split(',')
        reindeer.append((name, float(speed), int(flying_time), int(resting_time)))

winning_reindeer = max(reindeer, key=lambda x: calculate_distance(x[0], x[1], seconds))
print(winning_reindeer[0] + ' traveled ' + str(calculate_distance(winning_reindeer[1], winning_reindeer[2], seconds)) + ' km in ' + str(seconds) + ' seconds.')
",0
14,2015,15,1,syntax_error,,21367368,"  File ""/tmp/tmpid2mjweh/tmp.py"", line 25
    best_combo = [x[0] for x in ingredients if sum([int(x[1].split()[0]) for x in [x[0].split(':')]]]) == 100]
                                                                                                    ^
SyntaxError: closing parenthesis ']' does not match opening parenthesis '('
","
# Read input from file
with open('input.txt', 'r') as f:
    ingredients = [line.strip().split(',') for line in f.readlines()]

# Calculate total score for each ingredient combination
scores = []
for i in range(len(ingredients)):
    for j in range(i+1, len(ingredients)):
        for k in range(j+1, len(ingredients)):
            for l in range(k+1, len(ingredients)):
                for m in range(l+1, len(ingredients)):
                    capacity = sum([int(x[0].split()[0]) for x in [ingredients[i], ingredients[j], ingredients[k], ingredients[l], ingredients[m]]])
                    durability = sum([int(x[1].split()[0]) for x in [ingredients[i], ingredients[j], ingredients[k], ingredients[l], ingredients[m]]])
                    flavor = sum([int(x[2].split()[0]) for x in [ingredients[i], ingredients[j], ingredients[k], ingredients[l], ingredients[m]]])
                    texture = sum([int(x[3].split()[0]) for x in [ingredients[i], ingredients[j], ingredients[k], ingredients[l], ingredients[m]]])
                    calories = sum([int(x[4].split()[0]) for x in [ingredients[i], ingredients[j], ingredients[k], ingredients[l], ingredients[m]]])
                    if capacity <= 0 or durability <= 0 or flavor <= 0 or texture <= 0 or calories <= 0:
                        continue
                    score = ((capacity + durability + flavor + texture) / 4) * (calories / 10)
                    scores.append(score)

# Find the combination with the highest score
best_score = max(scores)
best_combo = [x[0] for x in ingredients if sum([int(x[1].split()[0]) for x in [x[0].split(':')]]]) == 100]
print(f'Best combination: {best_combo}, Score: {best_score}')
",0
15,2015,16,1,runtime_error,,40,"Traceback (most recent call last):
  File ""/tmp/tmps0ibc3to/tmp.py"", line 26, in <module>
    if is_equal(sue, missing_values):
  File ""/tmp/tmps0ibc3to/tmp.py"", line 8, in is_equal
    return sorted(d1.items()) == sorted(d2.items())
AttributeError: 'list' object has no attribute 'items'
","
# Open the input file and store the data in a list of dictionaries
with open('input.txt', 'r') as f:
  data = [line.strip().split(': ') for line in f]

# Define a function to check if two dictionaries are equal or not
def is_equal(d1, d2):
  return sorted(d1.items()) == sorted(d2.items())

# Define a variable to store the missing values in the gift characteristics
missing_values = {
  'children': True,
  'cats': True,
  'samoyeds': True,
  'pomeranians': True,
  'akitas': True,
  'vizslas': True,
  'goldfish': True,
  'trees': True,
  'cars': True,
  'perfumes': True
}

# Loop through each Aunt Sue and check if her characteristics match the gift or not
for i, sue in enumerate(data):
  if is_equal(sue, missing_values):
    print(f""Aunt Sue {i+1} is the one who gave you the gift."")
    break
",0
16,2015,17,1,wrong_output,"1
",1638,,"
# read target amount and container capacities from input file
with open('input.txt', 'r') as f:
    target = int(f.readline())
    capacities = list(map(int, f.readlines()[1:]))

# use dynamic programming to find number of different combinations
n = len(capacities)
dp = [[0 for _ in range(target + 1)] for _ in range(n + 1)]

# fill dp table with all possible combinations
for i in range(n + 1):
    for j in range(target + 1):
        if i == 0 or j == 0:
            dp[i][j] = 1
        elif capacities[i - 1] <= j:
            dp[i][j] += dp[i - 1][j - capacities[i - 1]]
        else:
            dp[i][j] += dp[i - 1][j]

print(dp[n][target])
",0
17,2015,18,1,runtime_error,,814,"Traceback (most recent call last):
  File ""/tmp/tmp8vteo8x1/tmp.py"", line 27, in <module>
    grid = update_grid(grid)
  File ""/tmp/tmp8vteo8x1/tmp.py"", line 21, in update_grid
    new_line = ''.join(['#' if num_neighbors(i, j) in (2, 3) else '.' for i, j in enumerate(line)])
  File ""/tmp/tmp8vteo8x1/tmp.py"", line 21, in <listcomp>
    new_line = ''.join(['#' if num_neighbors(i, j) in (2, 3) else '.' for i, j in enumerate(line)])
  File ""/tmp/tmp8vteo8x1/tmp.py"", line 12, in num_neighbors
    nx, ny = x + dx, y + dy
TypeError: can only concatenate str (not ""int"") to str
","
with open('input.txt', 'r') as f:
    grid = f.read().strip()

# Create a 2D array of characters from the grid
arr = [[c for c in line.strip()] for line in grid.split('\n')]

# Define a helper function to get the number of neighbors a light has
def num_neighbors(x, y):
    total = 0
    for dx, dy in ((-1, 0), (1, 0), (0, -1), (0, 1)):
        nx, ny = x + dx, y + dy
        if 0 <= nx < len(arr) and 0 <= ny < len(arr[0]):
            total += (arr[nx][ny] == '#')
    return total

# Define a helper function to update the grid
def update_grid(grid):
    new_grid = ''
    for line in grid.split('\n'):
        new_line = ''.join(['#' if num_neighbors(i, j) in (2, 3) else '.' for i, j in enumerate(line)])
        new_grid += new_line + '\n'
    return new_grid

# Animate the grid for 100 steps
for i in range(100):
    grid = update_grid(grid)

# Count the number of lights that are on
on_count = sum(sum([char == '#' for char in line]) for line in grid.split('\n'))

print(on_count)
",0
18,2015,19,1,wrong_output,"0
",518,,"
# Read the input file
with open('input.txt', 'r') as f:
    rules = f.readlines()[:-1]
    molecule = f.readline().strip()

# Initialize a dictionary to store the generated molecules
generated_molecules = {}

# Iterate over each character in the molecule
for i, char in enumerate(molecule):
    # If the character is in a replacement rule
    if char in rules:
        # Find all possible replacements for the character
        replacements = set()
        for rule in rules:
            if char in rule:
                replacements.add(rule.split('=>')[1])
        # Generate all possible molecules using the replacements
        for replacement in replacements:
            new_molecule = molecule[:i] + replacement + molecule[i+1:]
            if new_molecule not in generated_molecules:
                generated_molecules[new_molecule] = True

# Print the number of generated molecules
print(len(generated_molecules))
",0
19,2015,20,1,timeout_error,,776160,TIMEOUT,"
target = int(input())
lowest_house = None
for i in range(1, target+1):
    presents = 0
    for j in range(1, i+1):
        presents += j
    if presents >= target:
        lowest_house = i-1
        break
print(lowest_house)
",0
