,year,day,part,status,output,expected_output,error,code,kpass
0,2015,1,1,no_error,"74
",74,,"
with open('input.txt') as f:
    floor = 0
    for c in f.read():
        floor += 1 if c == '(' else -1

print(floor)
",0.0
1,2015,1,2,wrong_output,"1796
",1795,,"
with open('input.txt') as f:
    floor = 0
    i = 1
    for c in f.read():
        floor += 1 if c == '(' else -1
        i += 1
        if floor < 0:
            print(i)
            break
",0.0
2,2015,2,1,no_error,"1586300
",1586300,,"
total_area = 0
with open('input.txt', 'r') as f:
    for line in f:
        l, w, h = map(int, line.split('x'))
        area = 2 * l * w + 2 * w * h + 2 * h * l
        smallest_side = min(l * w, w * h, h * l)
        total_area += area + smallest_side
print(total_area)
",0.0
3,2015,2,2,no_error,"3737498
",3737498,,"
total_ribbon = 0
with open('input.txt', 'r') as f:
    for line in f:
        l, w, h = map(int, line.split('x'))
        perim = 2 * min(l + w, w + h, h + l)
        volume = l * w * h
        total_ribbon += perim + volume
print(total_ribbon)
",0.0
4,2015,3,1,no_error,2565,2565,,"
with open('input.txt', 'r') as f:
    directions = f.read()

visited = {(0, 0)}
x, y = 0, 0

for direction in directions:
    if direction == '^':
        y += 1
    elif direction == 'v':
        y -= 1
    elif direction == '>':
        x += 1
    elif direction == '<':
        x -= 1

    visited.add((x, y))

houses_visited = len(visited)

print(f'{houses_visited} house(s) received at least one present.')
",0.0
5,2015,3,2,no_error,2639,2639,,"
with open('input.txt', 'r') as f:
    directions = f.read()

visited = {(0, 0)}
santa_x, santa_y = 0, 0
robo_x, robo_y = 0, 0

for i, direction in enumerate(directions):
    if i % 2 == 0:
        x, y = santa_x, santa_y
    else:
        x, y = robo_x, robo_y

    if direction == '^':
        y += 1
    elif direction == 'v':
        y -= 1
    elif direction == '>':
        x += 1
    elif direction == '<':
        x -= 1

    if i % 2 == 0:
        santa_x, santa_y = x, y
    else:
        robo_x, robo_y = x, y

    visited.add((x, y))

houses_visited = len(visited)

print(f'{houses_visited} house(s) received at least one present.')
",0.0
6,2015,4,1,no_error,"117946
",117946,,"
import hashlib
import sys

with open('input.txt', 'r') as infile:
    key = infile.read()

found = False
n = 0
while not found:
    h = hashlib.md5((key + str(n)).encode())
    s = h.hexdigest()
    found = all([s[i] == '0' for i in range(5)])
    n += 1

print(n - 1)
",0.0
7,2015,4,2,no_error,"3938038
",3938038,,"
import hashlib
import sys

with open('input.txt', 'r') as infile:
    key = infile.read()

found = False
n = 0
while not found:
    h = hashlib.md5((key + str(n)).encode())
    s = h.hexdigest()
    found = all([s[i] == '0' for i in range(6)])
    n += 1

print(n - 1)
",0.0
8,2015,5,1,runtime_error,,236,"  File ""/tmp/tmpescoxic_/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def is_nice(string):
  """"""
  Checks if a string is nice.

  A nice string is one with all of the following properties:

  * It contains at least three vowels (`aeiou` only), like `aei`, `xazegov`, or `aeiouaeiouaeiou`.
  * It contains at least one letter that appears twice in a row, like `xx`, `abcdde` (`dd`), or `aabbccdd` (`aa`, `bb`, `cc`, or `dd`).
  * It does *not* contain the strings `ab`, `cd`, `pq`, or `xy`, even if they are part of one of the other requirements.

  Args:
    string: The string to check.

  Returns:
    True if the string is nice, False otherwise.
  """"""

  # Check if the string contains at least three vowels.

  vowel_count = 0
  for char in string:
    if char in ""aeiou"":
      vowel_count += 1

  if vowel_count < 3:
    return False

  # Check if the string contains at least one letter that",0.0
9,2015,5,2,part1_failed,,51,,,
10,2015,6,1,runtime_error,,400410,"  File ""/tmp/tmpjcss953r/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
import re

if __name__ == ""__main__"":
    file = open('input.txt', 'r')
    instructions = file.readlines()
    grid = [[False for _ in range(1000)] for _ in range(1000)]
    for instruction in instructions:
        instruction = instruction.rstrip()
        if instruction[:7] == 'turn on':
            p = re.compile(r'\d+')
            coordinates = list(map(int, p.findall(instruction)))
            for i in range(coordinates[0], coordinates[2] + 1):
                for j in range(coordinates[1], coordinates[3] + 1):
                    grid[i][j] = True
        elif instruction[:7] == 'turn off':
            p = re.compile(r'\d+')
            coordinates = list(map(int, p.findall(instruction)))
            for i in range(coordinates[0], coordinates[2] + 1):
                for j in range(coordinates[1], coordinates[3] + 1):
                    grid[i][j] = False
        elif instruction",0.0
11,2015,6,2,part1_failed,,15343601,,,
12,2015,7,1,runtime_error,,46065,"Traceback (most recent call last):
  File ""/tmp/tmpppxndt_r/tmp.py"", line 14, in <module>
    wires[out] = gate[op](wires[a], wires[b])
KeyError: 'bn'
","
gate = {'AND': lambda a, b: a & b, 'OR': lambda a, b: a | b, 'LSHIFT': lambda a, b: a << b, 'RSHIFT': lambda a, b: a >> b, 'NOT': lambda a: 65535 - a}
wires = {}

with open('input.txt') as file:
    for line in file:
        inp, out = line.split(' -> ')
        if inp.isdigit():
            wires[out] = int(inp)
        elif 'NOT ' in inp:
            wires[out] = gate['NOT'](wires[inp[4:]])
        else:
            a, op, b = inp.split()
            wires[out] = gate[op](wires[a], wires[b])

print('Value on wire `a` is', wires['a'])
",0.0
13,2015,7,2,part1_failed,,14134,,,
14,2015,8,1,wrong_output,"1101
",1371,,"
with open('input.txt') as f:
    size = 0
    for line in f:
        str_len = 0
        last_c = ' '
        for c in line[1:-2]:
            if last_c != '\\' and c == '\\':
                if line[line.index(c) + 1] == 'x':
                    str_len += 1
                last_c = 'x'
            else:
                last_c = c
                str_len += 1
        size += len(line) - 1 - str_len
print(size)
",0.0
15,2015,8,2,part1_failed,,2117,,,
16,2015,9,1,runtime_error,,251,"  File ""/tmp/tmpxoau7jpq/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
class Graph:
    def __init__(self, vertices):
        self.vertices = vertices
        self.edges = [[-1 for i in range(vertices)] for j in range(vertices)]
        self.visited = []

    def add_edge(self, u, v, weight):
        self.edges[u][v] = weight
        self.edges[v][u] = weight

    def tsp(self, v, currWeight, level, totalVertices, visited):
        if level == totalVertices:
            if self.edges[v][0] != -1:
                currWeight += self.edges[v][0]
                return currWeight
            else:
                return float('inf')
        visited[v] = True

        ans = float('inf')
        for i in range(totalVertices):
            if not visited[i] and self.edges[v][i] != -1:
                newAns = self.tsp(i, currWeight + self.edges[v][i], level + 1, totalVertices, visited)
                ans = min(ans, newAns)

        visited",0.0
17,2015,9,2,part1_failed,,898,,,
18,2015,10,1,no_error,"329356
",329356,,"
with open('input.txt') as f:
    s = f.read().strip()
for _ in range(40):
    t = ''
    i = 0
    while i < len(s):
        c = s[i]
        j = i
        while j < len(s) and s[j] == c:
            j += 1
        t += str(j - i) + c
        i = j
    s = t
print(len(s))
",0.0
19,2015,10,2,no_error,"4666278
",4666278,,"
with open('input.txt') as f:
    s = f.read().strip()
for _ in range(50):
    t = ''
    i = 0
    while i < len(s):
        c = s[i]
        j = i
        while j < len(s) and s[j] == c:
            j += 1
        t += str(j - i) + c
        i = j
    s = t
print(len(s))
",0.0
20,2015,11,1,runtime_error,,vzbxxyzz,"  File ""/tmp/tmp4u21lre4/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def next_password(raw_pw):
    pw = [ord(i)-96 for i in raw_pw]

    while True:
        has_double_pairs = False
        has_three_straight = False

        i, cnt = 0, 1
        while i < len(pw):
            if pw[i] == pw[i-1]:
                cnt += 1
                if cnt == 2 and i+1 < len(pw) and pw[i] == pw[i+1]:
                    cnt = 0
                elif cnt == 3:
                    cnt = 0
                    has_double_pairs = True
            else:
                if i+1 < len(pw) and pw[i+1]-pw[i] == 1 and pw[i+2]-pw[i+1] == 1:
                    has_three_straight = True
                cnt = 1

            if has_three_straight and has_double_pairs and 'i' not in raw_pw and 'o' not in raw_pw and 'l' not in raw_pw:
                break",0.0
21,2015,11,2,part1_failed,,vzcaabcc,,,
22,2015,12,1,no_error,"111754
",111754,,"
import json

# Read the input file
with open('input.txt', 'r') as f:
    data = json.load(f)

# Calculate the sum of all numbers in the document
def sum_numbers(data):
    total = 0
    if isinstance(data, int):
        return data
    if isinstance(data, dict):
        for value in data.values():
            total += sum_numbers(value)
    if isinstance(data, list):
        for value in data:
            total += sum_numbers(value)
    return total

result = sum_numbers(data)

# Print the result
print(result)
",0.0
